n,average_call_loss_rate
129,0.7681699999999999
130,0.7317199999999999
131,0.74867
132,0.7966
133,0.76024
134,0.7330299999999998
135,0.7645000000000001
136,0.65723
137,0.73034
138,0.81842
139,0.75747
140,0.82212
141,0.7106899999999999
142,0.6833300000000001
143,0.6644500000000001
144,0.6270199999999999
145,0.8022800000000002
146,0.74493
147,0.7391599999999998
148,0.74526
149,0.80183
150,0.8478300000000001
151,0.80183
152,0.78381
153,0.60217
154,0.77565
155,0.7945599999999999
156,0.7069099999999999
157,0.8348400000000001
158,0.72292
159,0.76332
160,0.81835
161,0.6649499999999999
162,0.75446
163,0.78585
164,0.7555700000000001
165,0.7005399999999999
166,0.8076500000000001
167,0.701
168,0.72011
169,0.73994
170,0.7581
171,0.8430899999999999
172,0.85014
173,0.63212
174,0.7533899999999999
175,0.7652100000000002
176,0.79733
177,0.80207
178,0.81068
179,0.73309
180,0.78064
181,0.79667
182,0.8648999999999999
183,0.82233
184,0.75797
185,0.8554499999999999
186,0.7649900000000001
187,0.84008
188,0.6913500000000001
189,0.82515
190,0.80647
191,0.85351
192,0.7992199999999998
193,0.76594
194,0.84572
195,0.81355
196,0.7714799999999999
197,0.7794299999999998
198,0.7327499999999999
199,0.78952
200,0.67513
201,0.75658
202,0.68548
203,0.82203
204,0.8027999999999998
205,0.87759
206,0.7919499999999999
207,0.7092799999999999
208,0.7915
209,0.67099
210,0.82327
211,0.73344
212,0.6752499999999999
213,0.7906599999999999
214,0.79379
215,0.7425200000000001
216,0.8291700000000001
217,0.80565
218,0.77676
219,0.8408200000000001
220,0.8306000000000001
221,0.78733
222,0.8165000000000001
223,0.7670799999999999
224,0.8011800000000001
225,0.76684
226,0.81692
227,0.86525
228,0.7971999999999999
229,0.83984
230,0.79681
231,0.8179000000000001
232,0.82011
233,0.8035400000000001
234,0.8370799999999999
235,0.77675
236,0.75728
237,0.8177200000000001
238,0.8284699999999999
239,0.77998
240,0.8689600000000001
241,0.80738
242,0.84727
243,0.7945
244,0.8208
245,0.8314599999999999
246,0.77685
247,0.88164
248,0.8277300000000001
249,0.76938
250,0.86595
251,0.84371
252,0.73517
253,0.8464
254,0.8406500000000001
255,0.8679699999999999
256,0.8362999999999999
257,0.8016099999999999
258,0.8226799999999999
259,0.7821899999999999
260,0.8204099999999999
261,0.80801
262,0.8082300000000002
263,0.8426499999999999
264,0.80365
265,0.84375
266,0.88006
267,0.8924799999999999
268,0.8139100000000001
269,0.8303600000000001
270,0.8108299999999999
271,0.9094599999999999
272,0.73353
273,0.81755
274,0.8682599999999999
275,0.83612
276,0.8535300000000001
277,0.85276
278,0.8021
279,0.8303100000000001
280,0.8231399999999999
281,0.8729999999999999
282,0.82454
283,0.86174
284,0.8291700000000001
285,0.71288
286,0.87164
287,0.83823
288,0.8770199999999999
289,0.8142699999999999
290,0.8307399999999999
291,0.7741499999999999
292,0.79559
293,0.83088
294,0.80512
295,0.86524
296,0.9036100000000001
297,0.7543200000000001
298,0.7918299999999999
299,0.8162400000000002
300,0.83213
301,0.8263300000000001
302,0.9096900000000001
303,0.84528
304,0.76264
305,0.8200399999999999
306,0.8365
307,0.82323
308,0.8615799999999998
309,0.7998000000000001
310,0.8261200000000002
311,0.81662
312,0.83337
313,0.86728
314,0.87011
315,0.7529899999999999
316,0.83726
317,0.8464
318,0.8060700000000001
319,0.853
320,0.7699800000000001
321,0.7837599999999999
322,0.80586
323,0.88361
324,0.72767
325,0.8878300000000001
326,0.86219
327,0.8625700000000001
328,0.88888
329,0.7610400000000002
330,0.8785399999999999
331,0.8574900000000001
332,0.83748
333,0.77771
334,0.8091600000000001
335,0.8047700000000001
336,0.8177200000000001
337,0.79756
338,0.76439
339,0.8221
340,0.83858
341,0.86341
342,0.88073
343,0.8363000000000002
344,0.8485900000000001
345,0.82926
346,0.8036
347,0.8621500000000001
348,0.7861499999999999
349,0.8737499999999999
350,0.90341
351,0.8582899999999999
352,0.8126900000000001
353,0.86663
354,0.8305900000000002
355,0.8303099999999999
356,0.8465400000000001
357,0.80334
358,0.8293900000000001
359,0.83273
360,0.8150300000000001
361,0.71684
362,0.9166799999999998
363,0.84548
364,0.79558
365,0.8056600000000002
366,0.8741200000000001
367,0.8568399999999998
368,0.85558
369,0.83582
