n,average_call_loss_rate
126,0.74022
127,0.7424399999999999
128,0.7437799999999999
129,0.7451100000000002
130,0.74757
131,0.74813
132,0.74878
133,0.75115
134,0.75291
135,0.75343
136,0.7544699999999999
137,0.7570600000000001
138,0.7570600000000001
139,0.7586899999999999
140,0.7599899999999999
141,0.76128
142,0.76303
143,0.76362
144,0.76332
145,0.7669299999999999
146,0.7669
147,0.7689100000000001
148,0.7688699999999999
149,0.7714599999999999
150,0.7721600000000001
151,0.7723100000000002
152,0.7748799999999999
153,0.77576
154,0.77672
155,0.77687
156,0.7781899999999999
157,0.77893
158,0.7806599999999999
159,0.78224
160,0.78213
161,0.78434
162,0.78444
163,0.78585
164,0.78705
165,0.7882899999999999
166,0.7884899999999999
167,0.7895099999999999
168,0.7903300000000001
169,0.7909900000000001
170,0.79296
171,0.7929799999999999
172,0.79384
173,0.79502
174,0.79676
175,0.79782
176,0.7988700000000001
177,0.8000700000000001
178,0.7994399999999999
179,0.80067
180,0.8011699999999999
181,0.8015599999999999
182,0.8031200000000001
183,0.80414
184,0.80501
185,0.8057500000000001
186,0.8068500000000001
187,0.8069200000000001
188,0.8082800000000001
189,0.8089999999999999
190,0.80931
191,0.81024
192,0.8119999999999999
193,0.8107300000000001
194,0.8127700000000001
195,0.81355
196,0.81376
197,0.8147599999999999
198,0.8152099999999999
199,0.81669
200,0.8170700000000002
201,0.8182200000000002
202,0.8186
203,0.8192
204,0.81982
205,0.82028
206,0.82127
207,0.8212299999999999
208,0.82237
209,0.8228
210,0.8238200000000001
211,0.8248900000000001
212,0.8244400000000001
213,0.82624
214,0.82668
215,0.82609
216,0.82692
217,0.82789
218,0.8286900000000001
219,0.8301000000000001
220,0.8302499999999998
221,0.83069
222,0.8319699999999999
223,0.8327599999999998
224,0.8321799999999999
225,0.8331099999999999
226,0.8332599999999999
227,0.8342799999999999
228,0.8347899999999999
229,0.83579
230,0.8356599999999998
231,0.8366399999999998
232,0.83697
233,0.8377399999999999
234,0.8380699999999999
235,0.8386000000000001
236,0.83924
237,0.8392199999999999
238,0.8405699999999999
239,0.8421099999999999
240,0.8413600000000001
241,0.84185
242,0.8422599999999999
243,0.8428000000000001
244,0.84357
245,0.84443
246,0.8434099999999999
247,0.8452400000000001
248,0.8456400000000001
249,0.84698
250,0.8473200000000001
251,0.8465100000000001
252,0.84658
253,0.8480700000000001
254,0.84848
255,0.84891
